text,label,source
"Pemerintah umumkan vaksin baru menyebabkan kematian massal dalam 24 jam",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian terbaru temukan manfaat teh hijau untuk kesehatan jantung",0,"Kompas, 2022"
"UFO mendarat di Yogyakarta dan bertemu gubernur",1,"Kominfo, 2024"
"Vaksin COVID-19 terbukti aman setelah uji klinis di 30 negara",0,"CNN Indonesia, 2021"
"Obat tradisional sembuhkan kanker dalam 3 hari",1,"Mafindo (turnbackhoax.id), 2022"
"Olahraga rutin tingkatkan imunitas tubuh berdasarkan studi WHO",0,"Kompas, 2023"
"Bumi akan dihantam meteor besar pada 2025",1,"Kominfo, 2025"
"Pemerintah luncurkan program kesehatan gratis untuk lansia",0,"Detik, 2024"
"Ponsel 5G menyebabkan kanker otak dalam 2 tahun",1,"Mafindo (turnbackhoax.id), 2023"
"Studi global tunjukkan meditasi kurangi stres dan depresi",0,"CNN Indonesia, 2022"
"Presiden umumkan lockdown total mulai besok",1,"Kominfo, 2025"
"Penelitian universitas temukan diet sehat perpanjang usia 5 tahun",0,"Kompas, 2023"
"Air laut bisa diminum setelah ditemukan teknologi baru",1,"Mafindo (turnbackhoax.id), 2022"
"Kementerian Kesehatan luncurkan aplikasi untuk pantau gizi anak",0,"Detik, 2024"
"Larutan klorin dioksida sembuhkan semua penyakit",1,"Kominfo, 2025"
"Yoga terbukti tingkatkan kesehatan mental berdasarkan penelitian",0,"CNN Indonesia, 2023"
"Dana bantuan kesehatan Rp150 juta dari BP2MI untuk semua warga",1,"Kominfo, 2025"
"Pemerintah bangun rumah sakit modern di 10 kota besar",0,"Kompas, 2024"
"Minum air kelapa setiap hari menyebabkan penuaan dini",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian temukan buah lokal tingkatkan kecerdasan anak",0,"Detik, 2023"
"Ramuan herbal dari daun kelor sembuhkan diabetes dalam seminggu",1,"Mafindo (turnbackhoax.id), 2024"
"Program vaksinasi nasional kurangi kasus flu hingga 40%",0,"Kompas, 2024"
"Alien mendirikan markas di bawah laut Bali",1,"Kominfo, 2024"
"Penelitian tunjukkan tidur cukup tingkatkan produktivitas kerja",0,"CNN Indonesia, 2024"
"Vaksin baru menyebabkan infertilitas pada pria",1,"Mafindo (turnbackhoax.id), 2023"
"Pemerintah luncurkan inisiatif untuk kurangi polusi udara",0,"Detik, 2024"
"Obat ajaib dari China sembuhkan semua jenis kanker",1,"Kominfo, 2025"
"Studi baru temukan manfaat ikan laut untuk kesehatan otak",0,"Kompas, 2023"
"Banjir besar akan melanda Jakarta akibat konspirasi global",1,"Mafindo (turnbackhoax.id), 2024"
"Kementerian Kesehatan tingkatkan layanan imunisasi anak",0,"CNN Indonesia, 2024"
"Minyak kelapa murni bisa cegah virus corona",1,"Mafindo (turnbackhoax.id), 2022"
"Penelitian temukan olahraga ringan kurangi risiko jantungan",0,"Detik, 2023"
"Ponsel menyebabkan radiasi yang memicu kanker kulit",1,"Kominfo, 2024"
"Program gizi sekolah tingkatkan prestasi akademik anak",0,"Kompas, 2024"
"Konsumsi bawang putih mentah sembuhkan flu dalam 1 hari",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian global temukan manfaat kacang untuk jantung",0,"CNN Indonesia, 2023"
"Chip dalam vaksin COVID-19 untuk kontrol pikiran",1,"Kominfo, 2025"
"Pemerintah luncurkan kampanye antirokok di sekolah",0,"Detik, 2024"
"Air alkali bisa menyembuhkan semua penyakit kronis",1,"Mafindo (turnbackhoax.id), 2024"
"Studi temukan hubungan antara pola makan dan umur panjang",0,"Kompas, 2023"
"Vaksin flu menyebabkan autisme pada anak",1,"Mafindo (turnbackhoax.id), 2023"
"Pemerintah tingkatkan akses air bersih di pedesaan",0,"Detik, 2024"
"Obat herbal baru sembuhkan stroke dalam 24 jam",1,"Kominfo, 2025"
"Penelitian temukan manfaat susu untuk kesehatan tulang",0,"CNN Indonesia, 2023"
"Gunung Merapi akan meletus besar minggu ini",1,"Mafindo (turnbackhoax.id), 2024"
"Program kesehatan mental nasional diluncurkan untuk pelajar",0,"Kompas, 2024"
"Konsumsi jahe merah sembuhkan semua infeksi virus",1,"Mafindo (turnbackhoax.id), 2023"
"Studi temukan olahraga pagi tingkatkan fokus kerja",0,"Detik, 2023"
"Radiasi Wi-Fi menyebabkan gangguan otak pada anak",1,"Kominfo, 2024"
"Pemerintah luncurkan aplikasi untuk deteksi dini penyakit",0,"CNN Indonesia, 2024"
"Vaksin baru mengandung bahan berbahaya untuk manusia",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian temukan manfaat sayuran hijau untuk mata",0,"Kompas, 2023"
"Obat tradisional baru sembuhkan demam berdarah instan",1,"Kominfo, 2025"
"Program imunisasi anak kurangi kasus campak di Indonesia",0,"Detik, 2024"
"Konsumsi madu murni sembuhkan kanker paru-paru",1,"Mafindo (turnbackhoax.id), 2024"
"Studi temukan hubungan antara tidur dan kesehatan jantung",0,"CNN Indonesia, 2023"
"Gempa besar akan melanda Surabaya akibat konspirasi",1,"Kominfo, 2025"
"Pemerintah luncurkan kampanye hidup sehat nasional",0,"Kompas, 2024"
"Air rebusan daun sirih sembuhkan diabetes tipe 2",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian temukan manfaat buah naga untuk imunitas",0,"Detik, 2023"
"Chip 5G di ponsel untuk mata-mata pemerintah",1,"Kominfo, 2024"
"Program pemeriksaan kesehatan gratis untuk ibu hamil",0,"CNN Indonesia, 2024"
"Vaksin baru menyebabkan gangguan saraf permanen",1,"Mafindo (turnbackhoax.id), 2023"
"Studi temukan manfaat berjalan kaki untuk kesehatan mental",0,"Kompas, 2023"
"Obat herbal dari Jepang sembuhkan semua penyakit jantung",1,"Kominfo, 2025"
"Penelitian temukan hubungan antara pola makan dan tidur",0,"Detik, 2023"
"Tsunami besar akan melanda Bali minggu depan",1,"Mafindo (turnbackhoax.id), 2024"
"Pemerintah luncurkan inisiatif untuk kurangi diabetes",0,"CNN Indonesia, 2024"
"Konsumsi lemon setiap hari sembuhkan kanker usus",1,"Mafindo (turnbackhoax.id), 2023"
"Studi temukan manfaat ikan salmon untuk kesehatan otak",0,"Kompas, 2023"
"Radiasi dari menara 5G menyebabkan gangguan tidur",1,"Kominfo, 2024"
"Program vaksinasi hepatitis kurangi kasus di Indonesia",0,"Detik, 2024"
"Vaksin baru mengandung logam beracun untuk manusia",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian temukan manfaat teh herbal untuk relaksasi",0,"CNN Indonesia, 2023"
"Obat tradisional sembuhkan semua jenis alergi",1,"Kominfo, 2025"
"Program gizi anak tingkatkan kesehatan di sekolah",0,"Kompas, 2024"
"Konsumsi kunyit sembuhkan penyakit autoimun",1,"Mafindo (turnbackhoax.id), 2024"
"Studi temukan manfaat olahraga untuk kesehatan tulang",0,"Detik, 2023"
"Ponsel baru menyebabkan gangguan penglihatan",1,"Kominfo, 2024"
"Penelitian temukan hubungan antara meditasi dan fokus",0,"CNN Indonesia, 2024"
"Vaksin menyebabkan gangguan genetik pada anak",1,"Mafindo (turnbackhoax.id), 2023"
"Pemerintah luncurkan aplikasi untuk pantau kesehatan jantung",0,"Kompas, 2024"
"Obat herbal baru sembuhkan semua jenis infeksi",1,"Kominfo, 2025"
"Penelitian temukan manfaat kacang almond untuk jantung",0,"Detik, 2023"
"Alien mengendalikan cuaca di Jakarta",1,"Mafindo (turnbackhoax.id), 2024"
"Program kesehatan anak kurangi kasus stunting",0,"CNN Indonesia, 2024"
"Konsumsi air jahe sembuhkan semua penyakit lambung",1,"Kominfo, 2025"
"Studi temukan manfaat buah apel untuk kesehatan usus",0,"Kompas, 2023"
"Radiasi 5G menyebabkan gangguan kesuburan",1,"Mafindo (turnbackhoax.id), 2023"
"Penelitian temukan hubungan antara yoga dan relaksasi",0,"Detik, 2024"
"Vaksin baru menyebabkan gangguan jantung pada remaja",1,"Kominfo, 2025"
"Pemerintah luncurkan kampanye antiobesitas nasional",0,"CNN Indonesia, 2024"
"Konsumsi air rebusan daun salam sembuhkan hipertensi",1,"Mafindo (turnbackhoax.id), 2024"
"Penelitian temukan manfaat kacang hijau untuk kesehatan mata",0,"Kompas, 2023"
"Obat herbal baru dari India sembuhkan semua penyakit kulit",1,"Kominfo, 2025"
"Program imunisasi nasional kurangi kasus polio",0,"Detik, 2024"
"Vaksin baru menyebabkan gangguan ginjal permanen",1,"Mafindo (turnbackhoax.id), 2023"
"Studi temukan hubungan antara olahraga dan tidur nyenyak",0,"CNN Indonesia, 2024"
"Tsunami besar akan melanda Jawa akibat konspirasi",1,"Kominfo, 2025"
"Pemerintah luncurkan inisiatif untuk kesehatan lansia",0,"Kompas, 2024"